incident_id,device_id,category,severity,opened_at,summary
INC-00036,LAPTOP-0009,Memory Pressure,Low,2026-07-14T12:00:00Z,LAPTOP-0009 reported memory pressure with DEX 64.
INC-00037,LAPTOP-0010,OneDrive Sync,Low,2026-07-16T10:00:00Z,LAPTOP-0010 reported onedrive sync with DEX 60.
INC-00038,LAPTOP-0010,Wi-Fi Instability,Critical,2026-07-06T05:00:00Z,LAPTOP-0010 reported wi-fi instability with DEX 60.
INC-00039,LAPTOP-0010,Memory Pressure,Low,2026-07-11T21:00:00Z,LAPTOP-0010 reported memory pressure with DEX 60.
INC-00040,LAPTOP-0011,CPU Saturation,Critical,2026-07-23T17:00:00Z,LAPTOP-0011 reported cpu saturation with DEX 43.
INC-00041,LAPTOP-0011,Teams Crash,High,2026-07-17T16:00:00Z,LAPTOP-0011 reported teams crash with DEX 43.
INC-00042,LAPTOP-0011,Disk Full,Medium,2026-07-25T17:00:00Z,LAPTOP-0011 reported disk full with DEX 43.
INC-00043,LAPTOP-0011,Compliance Drift,Low,2026-07-25T12:00:00Z,LAPTOP-0011 reported compliance drift with DEX 43.
INC-00044,LAPTOP-0011,CPU Saturation,Low,2026-07-18T10:00:00Z,LAPTOP-0011 reported cpu saturation with DEX 43.
INC-00045,LAPTOP-0011,Teams Crash,Low,2026-07-12T11:00:00Z,LAPTOP-0011 reported teams crash with DEX 43.
INC-00046,LAPTOP-0011,Disk Full,Medium,2026-07-11T15:00:00Z,LAPTOP-0011 reported disk full with DEX 43.
INC-00047,LAPTOP-0012,Wi-Fi Instability,High,2026-07-25T04:00:00Z,LAPTOP-0012 reported wi-fi instability with DEX 54.
INC-00048,LAPTOP-0012,Memory Pressure,High,2026-07-23T02:00:00Z,LAPTOP-0012 reported memory pressure with DEX 54.
INC-00049,LAPTOP-0012,VPN Disconnect,Low,2026-07-16T12:00:00Z,LAPTOP-0012 reported vpn disconnect with DEX 54.
INC-00050,LAPTOP-0012,OneDrive Sync,Low,2026-07-18T07:00:00Z,LAPTOP-0012 reported onedrive sync with DEX 54.
INC-00051,LAPTOP-0012,Wi-Fi Instability,Low,2026-07-18T17:00:00Z,LAPTOP-0012 reported wi-fi instability with DEX 54.
INC-00052,LAPTOP-0012,Memory Pressure,Medium,2026-07-26T10:00:00Z,LAPTOP-0012 reported memory pressure with DEX 54.
INC-00053,LAPTOP-0012,VPN Disconnect,Medium,2026-07-16T16:00:00Z,LAPTOP-0012 reported vpn disconnect with DEX 54.
INC-00054,LAPTOP-0013,Compliance Drift,Medium,2026-07-02T07:00:00Z,LAPTOP-0013 reported compliance drift with DEX 74.
INC-00055,LAPTOP-0013,CPU Saturation,Medium,2026-07-13T07:00:00Z,LAPTOP-0013 reported cpu saturation with DEX 74.
INC-00056,LAPTOP-0013,Teams Crash,Low,2026-07-26T01:00:00Z,LAPTOP-0013 reported teams crash with DEX 74.
INC-00057,LAPTOP-0013,Disk Full,High,2026-07-22T21:00:00Z,LAPTOP-0013 reported disk full with DEX 74.
INC-00058,LAPTOP-0013,Compliance Drift,Low,2026-07-11T21:00:00Z,LAPTOP-0013 reported compliance drift with DEX 74.
INC-00059,LAPTOP-0014,VPN Disconnect,Medium,2026-07-01T18:00:00Z,LAPTOP-0014 reported vpn disconnect with DEX 56.
INC-00060,LAPTOP-0014,OneDrive Sync,Medium,2026-07-07T18:00:00Z,LAPTOP-0014 reported onedrive sync with DEX 56.
INC-00061,LAPTOP-0014,Wi-Fi Instability,Medium,2026-07-06T04:00:00Z,LAPTOP-0014 reported wi-fi instability with DEX 56.
INC-00062,LAPTOP-0014,Memory Pressure,Medium,2026-07-01T18:00:00Z,LAPTOP-0014 reported memory pressure with DEX 56.
INC-00063,LAPTOP-0015,Wi-Fi Instability,Low,2026-07-13T04:00:00Z,LAPTOP-0015 reported wi-fi instability with DEX 47.
INC-00064,LAPTOP-0015,Memory Pressure,Critical,2026-07-13T04:00:00Z,LAPTOP-0015 reported memory pressure with DEX 47.
INC-00065,LAPTOP-0015,VPN Disconnect,Medium,2026-07-12T00:00:00Z,LAPTOP-0015 reported vpn disconnect with DEX 47.
INC-00066,LAPTOP-0016,Teams Crash,Medium,2026-07-22T17:00:00Z,LAPTOP-0016 reported teams crash with DEX 62.
INC-00067,LAPTOP-0016,Disk Full,Low,2026-07-23T17:00:00Z,LAPTOP-0016 reported disk full with DEX 62.
INC-00068,LAPTOP-0016,Compliance Drift,Low,2026-07-09T14:00:00Z,LAPTOP-0016 reported compliance drift with DEX 62.
INC-00069,LAPTOP-0017,OneDrive Sync,Medium,2026-07-13T06:00:00Z,LAPTOP-0017 reported onedrive sync with DEX 71.
INC-00070,LAPTOP-0017,Wi-Fi Instability,Medium,2026-07-25T20:00:00Z,LAPTOP-0017 reported wi-fi instability with DEX 71.
INC-00071,LAPTOP-0017,Memory Pressure,Medium,2026-07-20T20:00:00Z,LAPTOP-0017 reported memory pressure with DEX 71.
INC-00072,LAPTOP-0017,VPN Disconnect,Low,2026-07-18T22:00:00Z,LAPTOP-0017 reported vpn disconnect with DEX 71.
INC-00073,LAPTOP-0017,OneDrive Sync,Low,2026-07-25T10:00:00Z,LAPTOP-0017 reported onedrive sync with DEX 71.
INC-00074,LAPTOP-0017,Wi-Fi Instability,Medium,2026-07-17T02:00:00Z,LAPTOP-0017 reported wi-fi instability with DEX 71.
INC-00075,LAPTOP-0018,VPN Disconnect,Medium,2026-07-11T04:00:00Z,LAPTOP-0018 reported vpn disconnect with DEX 63.
INC-00076,LAPTOP-0018,OneDrive Sync,High,2026-07-21T01:00:00Z,LAPTOP-0018 reported onedrive sync with DEX 63.
INC-00077,LAPTOP-0018,Wi-Fi Instability,Low,2026-07-10T11:00:00Z,LAPTOP-0018 reported wi-fi instability with DEX 63.
INC-00078,LAPTOP-0018,Memory Pressure,Medium,2026-07-19T00:00:00Z,LAPTOP-0018 reported memory pressure with DEX 63.
INC-00079,LAPTOP-0018,VPN Disconnect,Low,2026-07-22T14:00:00Z,LAPTOP-0018 reported vpn disconnect with DEX 63.
INC-00080,LAPTOP-0018,OneDrive Sync,Low,2026-07-24T10:00:00Z,LAPTOP-0018 reported onedrive sync with DEX 63.
INC-00081,LAPTOP-0019,Memory Pressure,Low,2026-07-20T22:00:00Z,LAPTOP-0019 reported memory pressure with DEX 55.
INC-00082,LAPTOP-0019,VPN Disconnect,High,2026-07-26T21:00:00Z,LAPTOP-0019 reported vpn disconnect with DEX 55.
INC-00083,LAPTOP-0019,OneDrive Sync,Low,2026-07-19T04:00:00Z,LAPTOP-0019 reported onedrive sync with DEX 55.
INC-00084,LAPTOP-0019,Wi-Fi Instability,Medium,2026-07-22T17:00:00Z,LAPTOP-0019 reported wi-fi instability with DEX 55.
INC-00085,LAPTOP-0019,Memory Pressure,High,2026-07-20T08:00:00Z,LAPTOP-0019 reported memory pressure with DEX 55.
INC-00086,LAPTOP-0019,VPN Disconnect,Critical,2026-07-01T09:00:00Z,LAPTOP-0019 reported vpn disconnect with DEX 55.
INC-00087,LAPTOP-0020,Wi-Fi Instability,Medium,2026-07-01T16:00:00Z,LAPTOP-0020 reported wi-fi instability with DEX 48.
INC-00088,LAPTOP-0020,Memory Pressure,Critical,2026-07-20T02:00:00Z,LAPTOP-0020 reported memory pressure with DEX 48.
INC-00089,LAPTOP-0020,VPN Disconnect,High,2026-07-20T18:00:00Z,LAPTOP-0020 reported vpn disconnect with DEX 48.
INC-00090,LAPTOP-0020,OneDrive Sync,Medium,2026-07-03T05:00:00Z,LAPTOP-0020 reported onedrive sync with DEX 48.
INC-00091,LAPTOP-0020,Wi-Fi Instability,High,2026-07-19T21:00:00Z,LAPTOP-0020 reported wi-fi instability with DEX 48.
INC-00092,LAPTOP-0020,Memory Pressure,Medium,2026-07-23T09:00:00Z,LAPTOP-0020 reported memory pressure with DEX 48.
INC-00093,LAPTOP-0021,OneDrive Sync,Low,2026-07-11T16:00:00Z,LAPTOP-0021 reported onedrive sync with DEX 95.
INC-00094,LAPTOP-0021,Wi-Fi Instability,High,2026-07-15T13:00:00Z,LAPTOP-0021 reported wi-fi instability with DEX 95.
INC-00095,LAPTOP-0021,Memory Pressure,Medium,2026-07-01T07:00:00Z,LAPTOP-0021 reported memory pressure with DEX 95.
INC-00096,LAPTOP-0021,VPN Disconnect,High,2026-07-20T15:00:00Z,LAPTOP-0021 reported vpn disconnect with DEX 95.
INC-00097,LAPTOP-0021,OneDrive Sync,Low,2026-07-07T20:00:00Z,LAPTOP-0021 reported onedrive sync with DEX 95.
INC-00098,LAPTOP-0021,Wi-Fi Instability,Medium,2026-07-11T02:00:00Z,LAPTOP-0021 reported wi-fi instability with DEX 95.
INC-00099,LAPTOP-0022,VPN Disconnect,Medium,2026-07-10T04:00:00Z,LAPTOP-0022 reported vpn disconnect with DEX 53.
INC-00100,LAPTOP-0022,OneDrive Sync,Low,2026-07-18T18:00:00Z,LAPTOP-0022 reported onedrive sync with DEX 53.
INC-00101,LAPTOP-0022,Wi-Fi Instability,Critical,2026-07-13T19:00:00Z,LAPTOP-0022 reported wi-fi instability with DEX 53.
INC-00102,LAPTOP-0022,Memory Pressure,Medium,2026-07-14T16:00:00Z,LAPTOP-0022 reported memory pressure with DEX 53.
INC-00103,LAPTOP-0022,VPN Disconnect,Low,2026-07-05T11:00:00Z,LAPTOP-0022 reported vpn disconnect with DEX 53.
INC-00104,LAPTOP-0022,OneDrive Sync,High,2026-07-17T05:00:00Z,LAPTOP-0022 reported onedrive sync with DEX 53.
INC-00105,LAPTOP-0022,Wi-Fi Instability,Low,2026-07-05T06:00:00Z,LAPTOP-0022 reported wi-fi instability with DEX 53.
INC-00106,LAPTOP-0023,Teams Crash,Low,2026-07-17T03:00:00Z,LAPTOP-0023 reported teams crash with DEX 30.
INC-00107,LAPTOP-0023,Disk Full,Low,2026-07-07T02:00:00Z,LAPTOP-0023 reported disk full with DEX 30.
INC-00108,LAPTOP-0023,Compliance Drift,High,2026-07-02T01:00:00Z,LAPTOP-0023 reported compliance drift with DEX 30.
INC-00109,LAPTOP-0023,CPU Saturation,Low,2026-07-22T09:00:00Z,LAPTOP-0023 reported cpu saturation with DEX 30.
INC-00110,LAPTOP-0023,Teams Crash,Critical,2026-07-12T13:00:00Z,LAPTOP-0023 reported teams crash with DEX 30.
INC-00111,LAPTOP-0023,Disk Full,Medium,2026-07-27T15:00:00Z,LAPTOP-0023 reported disk full with DEX 30.
INC-00112,LAPTOP-0023,Compliance Drift,Critical,2026-07-26T13:00:00Z,LAPTOP-0023 reported compliance drift with DEX 30.
INC-00113,LAPTOP-0024,Memory Pressure,Medium,2026-07-08T18:00:00Z,LAPTOP-0024 reported memory pressure with DEX 60.
INC-00114,LAPTOP-0024,VPN Disconnect,Medium,2026-07-27T06:00:00Z,LAPTOP-0024 reported vpn disconnect with DEX 60.
INC-00115,LAPTOP-0024,OneDrive Sync,Low,2026-07-15T05:00:00Z,LAPTOP-0024 reported onedrive sync with DEX 60.
INC-00116,LAPTOP-0024,Wi-Fi Instability,Low,2026-07-01T08:00:00Z,LAPTOP-0024 reported wi-fi instability with DEX 60.
INC-00117,LAPTOP-0025,OneDrive Sync,Critical,2026-07-04T14:00:00Z,LAPTOP-0025 reported onedrive sync with DEX 87.
INC-00118,LAPTOP-0025,Wi-Fi Instability,Low,2026-07-03T19:00:00Z,LAPTOP-0025 reported wi-fi instability with DEX 87.
INC-00119,LAPTOP-0025,Memory Pressure,Medium,2026-07-25T20:00:00Z,LAPTOP-0025 reported memory pressure with DEX 87.
INC-00120,LAPTOP-0025,VPN Disconnect,High,2026-07-23T14:00:00Z,LAPTOP-0025 reported vpn disconnect with DEX 87.
INC-00121,LAPTOP-0025,OneDrive Sync,Low,2026-07-04T00:00:00Z,LAPTOP-0025 reported onedrive sync with DEX 87.
INC-00122,LAPTOP-0026,Teams Crash,Medium,2026-07-22T09:00:00Z,LAPTOP-0026 reported teams crash with DEX 57.
INC-00123,LAPTOP-0026,Disk Full,Medium,2026-07-03T22:00:00Z,LAPTOP-0026 reported disk full with DEX 57.
INC-00124,LAPTOP-0026,Compliance Drift,Medium,2026-07-10T16:00:00Z,LAPTOP-0026 reported compliance drift with DEX 57.
INC-00125,LAPTOP-0027,OneDrive Sync,Medium,2026-07-24T00:00:00Z,LAPTOP-0027 reported onedrive sync with DEX 57.
INC-00126,LAPTOP-0027,Wi-Fi Instability,High,2026-07-10T04:00:00Z,LAPTOP-0027 reported wi-fi instability with DEX 57.
INC-00127,LAPTOP-0027,Memory Pressure,Low,2026-07-07T02:00:00Z,LAPTOP-0027 reported memory pressure with DEX 57.
INC-00128,LAPTOP-0028,CPU Saturation,Medium,2026-07-13T17:00:00Z,LAPTOP-0028 reported cpu saturation with DEX 64.
INC-00129,LAPTOP-0028,Teams Crash,High,2026-07-14T17:00:00Z,LAPTOP-0028 reported teams crash with DEX 64.
INC-00130,LAPTOP-0029,Teams Crash,High,2026-07-06T10:00:00Z,LAPTOP-0029 reported teams crash with DEX 49.
INC-00131,LAPTOP-0030,VPN Disconnect,Medium,2026-07-04T09:00:00Z,LAPTOP-0030 reported vpn disconnect with DEX 64.
INC-00132,LAPTOP-0030,OneDrive Sync,Medium,2026-07-21T14:00:00Z,LAPTOP-0030 reported onedrive sync with DEX 64.
INC-00133,LAPTOP-0030,Wi-Fi Instability,Critical,2026-07-26T15:00:00Z,LAPTOP-0030 reported wi-fi instability with DEX 64.
INC-00134,LAPTOP-0030,Memory Pressure,Critical,2026-07-08T04:00:00Z,LAPTOP-0030 reported memory pressure with DEX 64.
INC-00135,LAPTOP-0031,Wi-Fi Instability,Low,2026-07-25T20:00:00Z,LAPTOP-0031 reported wi-fi instability with DEX 53.
INC-00136,LAPTOP-0031,Memory Pressure,Low,2026-07-10T20:00:00Z,LAPTOP-0031 reported memory pressure with DEX 53.
INC-00137,LAPTOP-0031,VPN Disconnect,High,2026-07-22T16:00:00Z,LAPTOP-0031 reported vpn disconnect with DEX 53.
INC-00138,LAPTOP-0032,Teams Crash,High,2026-07-09T21:00:00Z,LAPTOP-0032 reported teams crash with DEX 57.
INC-00139,LAPTOP-0032,Disk Full,Medium,2026-07-26T21:00:00Z,LAPTOP-0032 reported disk full with DEX 57.
INC-00140,LAPTOP-0032,Compliance Drift,Medium,2026-07-10T22:00:00Z,LAPTOP-0032 reported compliance drift with DEX 57.
INC-00141,LAPTOP-0032,CPU Saturation,Medium,2026-07-25T17:00:00Z,LAPTOP-0032 reported cpu saturation with DEX 57.
INC-00142,LAPTOP-0032,Teams Crash,Medium,2026-07-20T12:00:00Z,LAPTOP-0032 reported teams crash with DEX 57.
INC-00143,LAPTOP-0033,Wi-Fi Instability,Low,2026-07-13T15:00:00Z,LAPTOP-0033 reported wi-fi instability with DEX 56.
INC-00144,LAPTOP-0033,Memory Pressure,Medium,2026-07-03T05:00:00Z,LAPTOP-0033 reported memory pressure with DEX 56.
INC-00145,LAPTOP-0033,VPN Disconnect,High,2026-07-05T22:00:00Z,LAPTOP-0033 reported vpn disconnect with DEX 56.
INC-00146,LAPTOP-0033,OneDrive Sync,High,2026-07-27T06:00:00Z,LAPTOP-0033 reported onedrive sync with DEX 56.
INC-00147,LAPTOP-0033,Wi-Fi Instability,Critical,2026-07-07T19:00:00Z,LAPTOP-0033 reported wi-fi instability with DEX 56.
INC-00148,LAPTOP-0033,Memory Pressure,Low,2026-07-25T07:00:00Z,LAPTOP-0033 reported memory pressure with DEX 56.
INC-00149,LAPTOP-0034,OneDrive Sync,Low,2026-07-24T06:00:00Z,LAPTOP-0034 reported onedrive sync with DEX 60.
INC-00150,LAPTOP-0034,Wi-Fi Instability,Medium,2026-07-09T09:00:00Z,LAPTOP-0034 reported wi-fi instability with DEX 60.
INC-00151,LAPTOP-0034,Memory Pressure,High,2026-07-03T16:00:00Z,LAPTOP-0034 reported memory pressure with DEX 60.
INC-00152,LAPTOP-0034,VPN Disconnect,Low,2026-07-12T03:00:00Z,LAPTOP-0034 reported vpn disconnect with DEX 60.
INC-00153,LAPTOP-0037,Memory Pressure,Critical,2026-07-22T04:00:00Z,LAPTOP-0037 reported memory pressure with DEX 40.
INC-00154,LAPTOP-0037,VPN Disconnect,Medium,2026-07-09T08:00:00Z,LAPTOP-0037 reported vpn disconnect with DEX 40.
INC-00155,LAPTOP-0037,OneDrive Sync,High,2026-07-03T03:00:00Z,LAPTOP-0037 reported onedrive sync with DEX 40.
INC-00156,LAPTOP-0038,Disk Full,Medium,2026-07-05T00:00:00Z,LAPTOP-0038 reported disk full with DEX 33.
INC-00157,LAPTOP-0038,Compliance Drift,Low,2026-07-27T19:00:00Z,LAPTOP-0038 reported compliance drift with DEX 33.
INC-00158,LAPTOP-0038,CPU Saturation,High,2026-07-04T12:00:00Z,LAPTOP-0038 reported cpu saturation with DEX 33.
INC-00159,LAPTOP-0038,Teams Crash,Low,2026-07-02T12:00:00Z,LAPTOP-0038 reported teams crash with DEX 33.
INC-00160,LAPTOP-0038,Disk Full,Medium,2026-07-15T21:00:00Z,LAPTOP-0038 reported disk full with DEX 33.
INC-00161,LAPTOP-0038,Compliance Drift,Medium,2026-07-10T18:00:00Z,LAPTOP-0038 reported compliance drift with DEX 33.
INC-00162,LAPTOP-0038,CPU Saturation,Medium,2026-07-23T03:00:00Z,LAPTOP-0038 reported cpu saturation with DEX 33.
INC-00163,LAPTOP-0039,VPN Disconnect,Medium,2026-07-15T17:00:00Z,LAPTOP-0039 reported vpn disconnect with DEX 41.
INC-00164,LAPTOP-0039,OneDrive Sync,Medium,2026-07-26T14:00:00Z,LAPTOP-0039 reported onedrive sync with DEX 41.
INC-00165,LAPTOP-0039,Wi-Fi Instability,Medium,2026-07-01T15:00:00Z,LAPTOP-0039 reported wi-fi instability with DEX 41.
INC-00166,LAPTOP-0039,Memory Pressure,High,2026-07-16T10:00:00Z,LAPTOP-0039 reported memory pressure with DEX 41.
INC-00167,LAPTOP-0039,VPN Disconnect,Low,2026-07-15T07:00:00Z,LAPTOP-0039 reported vpn disconnect with DEX 41.
INC-00168,LAPTOP-0041,CPU Saturation,Low,2026-07-04T13:00:00Z,LAPTOP-0041 reported cpu saturation with DEX 61.
INC-00169,LAPTOP-0041,Teams Crash,Medium,2026-07-07T00:00:00Z,LAPTOP-0041 reported teams crash with DEX 61.
INC-00170,LAPTOP-0041,Disk Full,Medium,2026-07-03T02:00:00Z,LAPTOP-0041 reported disk full with DEX 61.
INC-00171,LAPTOP-0041,Compliance Drift,High,2026-07-10T12:00:00Z,LAPTOP-0041 reported compliance drift with DEX 61.
INC-00172,LAPTOP-0042,Disk Full,Low,2026-07-21T07:00:00Z,LAPTOP-0042 reported disk full with DEX 36.
INC-00173,LAPTOP-0042,Compliance Drift,Low,2026-07-09T06:00:00Z,LAPTOP-0042 reported compliance drift with DEX 36.
INC-00174,LAPTOP-0042,CPU Saturation,Low,2026-07-25T16:00:00Z,LAPTOP-0042 reported cpu saturation with DEX 36.
INC-00175,LAPTOP-0042,Teams Crash,Low,2026-07-25T20:00:00Z,LAPTOP-0042 reported teams crash with DEX 36.
INC-00176,LAPTOP-0042,Disk Full,Medium,2026-07-10T16:00:00Z,LAPTOP-0042 reported disk full with DEX 36.
INC-00177,LAPTOP-0044,Memory Pressure,Low,2026-07-01T07:00:00Z,LAPTOP-0044 reported memory pressure with DEX 51.
INC-00178,LAPTOP-0044,VPN Disconnect,High,2026-07-08T03:00:00Z,LAPTOP-0044 reported vpn disconnect with DEX 51.
INC-00179,LAPTOP-0044,OneDrive Sync,Critical,2026-07-01T17:00:00Z,LAPTOP-0044 reported onedrive sync with DEX 51.
INC-00180,LAPTOP-0044,Wi-Fi Instability,Medium,2026-07-23T02:00:00Z,LAPTOP-0044 reported wi-fi instability with DEX 51.
INC-00181,LAPTOP-0044,Memory Pressure,Low,2026-07-08T08:00:00Z,LAPTOP-0044 reported memory pressure with DEX 51.
INC-00182,LAPTOP-0045,Compliance Drift,Low,2026-07-20T18:00:00Z,LAPTOP-0045 reported compliance drift with DEX 67.
INC-00183,LAPTOP-0045,CPU Saturation,High,2026-07-22T01:00:00Z,LAPTOP-0045 reported cpu saturation with DEX 67.
INC-00184,LAPTOP-0045,Teams Crash,Low,2026-07-20T13:00:00Z,LAPTOP-0045 reported teams crash with DEX 67.
INC-00185,LAPTOP-0045,Disk Full,Low,2026-07-05T02:00:00Z,LAPTOP-0045 reported disk full with DEX 67.
INC-00186,LAPTOP-0046,Teams Crash,Medium,2026-07-23T07:00:00Z,LAPTOP-0046 reported teams crash with DEX 43.
INC-00187,LAPTOP-0046,Disk Full,Medium,2026-07-27T12:00:00Z,LAPTOP-0046 reported disk full with DEX 43.
INC-00188,LAPTOP-0046,Compliance Drift,Medium,2026-07-05T13:00:00Z,LAPTOP-0046 reported compliance drift with DEX 43.
INC-00189,LAPTOP-0047,OneDrive Sync,Medium,2026-07-17T09:00:00Z,LAPTOP-0047 reported onedrive sync with DEX 80.
INC-00190,LAPTOP-0047,Wi-Fi Instability,Low,2026-07-10T21:00:00Z,LAPTOP-0047 reported wi-fi instability with DEX 80.
INC-00191,LAPTOP-0047,Memory Pressure,Critical,2026-07-26T15:00:00Z,LAPTOP-0047 reported memory pressure with DEX 80.
INC-00192,LAPTOP-0048,CPU Saturation,High,2026-07-02T22:00:00Z,LAPTOP-0048 reported cpu saturation with DEX 40.
INC-00193,LAPTOP-0049,Memory Pressure,Low,2026-07-10T09:00:00Z,LAPTOP-0049 reported memory pressure with DEX 52.
INC-00194,LAPTOP-0050,Teams Crash,Medium,2026-07-03T04:00:00Z,LAPTOP-0050 reported teams crash with DEX 63.
INC-00195,LAPTOP-0050,Disk Full,High,2026-07-05T12:00:00Z,LAPTOP-0050 reported disk full with DEX 63.
INC-00196,LAPTOP-0051,Disk Full,Medium,2026-07-27T01:00:00Z,LAPTOP-0051 reported disk full with DEX 79.
INC-00197,LAPTOP-0051,Compliance Drift,Low,2026-07-27T22:00:00Z,LAPTOP-0051 reported compliance drift with DEX 79.
INC-00198,LAPTOP-0052,Compliance Drift,High,2026-07-22T06:00:00Z,LAPTOP-0052 reported compliance drift with DEX 59.
INC-00199,LAPTOP-0052,CPU Saturation,Medium,2026-07-21T00:00:00Z,LAPTOP-0052 reported cpu saturation with DEX 59.
INC-00200,LAPTOP-0052,Teams Crash,High,2026-07-26T04:00:00Z,LAPTOP-0052 reported teams crash with DEX 59.
INC-00201,LAPTOP-0053,Memory Pressure,Medium,2026-07-12T20:00:00Z,LAPTOP-0053 reported memory pressure with DEX 39.
INC-00202,LAPTOP-0053,VPN Disconnect,High,2026-07-16T07:00:00Z,LAPTOP-0053 reported vpn disconnect with DEX 39.
INC-00203,LAPTOP-0053,OneDrive Sync,Medium,2026-07-19T03:00:00Z,LAPTOP-0053 reported onedrive sync with DEX 39.
INC-00204,LAPTOP-0054,Disk Full,Low,2026-07-21T17:00:00Z,LAPTOP-0054 reported disk full with DEX 57.
