device_id,device_name,user,region,os_version,device_type,cpu_percent,memory_percent,disk_percent,disk_free_gb,battery_health,boot_time_seconds,teams_crashes_24h,outlook_crashes_24h,onedrive_sync_errors,vpn_disconnects_24h,wifi_signal,network_latency_ms,packet_loss_percent,compliance_status,patch_age_days,antivirus_status,encryption_status,last_restart,incident_count_30d,dex_score,risk_score
LAPTOP-0025,LAPTOP-0025,user.0025,NA-East,Windows 11 22H2,Desktop,12,27,65,126.8,82,67,2,2,5,4,-51,203,2.46,Compliant,112,Current,Enabled,2026-08-06T02:00:00Z,5,87,18
LAPTOP-0026,LAPTOP-0026,user.0026,NA-West,Windows 10 22H2,VDI,15,56,74,148.3,87,53,4,3,8,4,-57,70,1.82,Compliant,44,Current,Enabled,2026-08-02T12:00:00Z,3,57,40
LAPTOP-0027,LAPTOP-0027,user.0027,EMEA,Windows 11 23H2,Laptop,72,48,38,172.1,87,81,2,0,3,3,-41,16,4.76,Non-Compliant,100,Current,Enabled,2026-08-01T02:00:00Z,3,57,38
LAPTOP-0028,LAPTOP-0028,user.0028,APAC,Windows 11 22H2,Desktop,59,22,76,181.9,74,49,5,1,3,2,-85,76,4.59,Compliant,76,Current,Enabled,2026-08-01T15:00:00Z,2,64,42
LAPTOP-0029,LAPTOP-0029,user.0029,LATAM,Windows 10 22H2,VDI,76,82,32,197.6,59,106,0,0,2,2,-79,190,0.99,Compliant,108,Current,Disabled,2026-08-01T00:00:00Z,1,49,54
LAPTOP-0030,LAPTOP-0030,user.0030,NA-East,Windows 11 23H2,Laptop,12,81,71,187.2,66,25,4,3,9,5,-80,173,3.49,Compliant,63,Current,Enabled,2026-08-01T16:00:00Z,4,64,28
LAPTOP-0031,LAPTOP-0031,user.0031,NA-West,Windows 11 22H2,Desktop,55,75,67,162.1,83,25,1,0,2,0,-54,122,3.06,Non-Compliant,137,Current,Disabled,2026-08-02T20:00:00Z,3,53,44
LAPTOP-0032,LAPTOP-0032,user.0032,EMEA,Windows 10 22H2,VDI,70,50,41,215.6,81,65,3,3,2,3,-46,132,0.73,Compliant,76,Current,Enabled,2026-08-03T05:00:00Z,5,57,40
LAPTOP-0033,LAPTOP-0033,user.0033,APAC,Windows 11 23H2,Laptop,46,90,40,105.4,61,32,0,3,1,5,-73,34,2.14,Compliant,43,Current,Enabled,2026-08-02T09:00:00Z,6,56,45
LAPTOP-0034,LAPTOP-0034,user.0034,LATAM,Windows 11 22H2,Desktop,27,91,70,93.2,76,67,0,0,0,3,-70,130,3.51,Compliant,82,Current,Enabled,2026-08-05T07:00:00Z,4,60,37
LAPTOP-0035,LAPTOP-0035,user.0035,NA-East,Windows 10 22H2,VDI,25,52,66,162.6,83,75,5,0,9,5,-63,165,4.0,Compliant,73,Current,Enabled,2026-08-01T02:00:00Z,0,46,55
LAPTOP-0036,LAPTOP-0036,user.0036,NA-West,Windows 11 23H2,Laptop,14,85,87,74.8,76,37,4,1,0,4,-45,18,4.14,Compliant,58,Current,Enabled,2026-08-03T15:00:00Z,0,52,46
LAPTOP-0037,LAPTOP-0037,user.0037,EMEA,Windows 11 22H2,Desktop,52,47,64,69.8,98,97,4,0,7,4,-68,204,0.05,Compliant,90,Current,Enabled,2026-08-05T03:00:00Z,3,40,62
LAPTOP-0038,LAPTOP-0038,user.0038,APAC,Windows 10 22H2,VDI,81,89,97,217.9,84,34,3,1,8,2,-71,31,3.78,Compliant,67,Current,Enabled,2026-08-04T05:00:00Z,7,33,62
LAPTOP-0039,LAPTOP-0039,user.0039,LATAM,Windows 11 23H2,Laptop,90,23,72,129.8,65,92,2,0,0,1,-75,187,3.19,Compliant,118,Current,Enabled,2026-08-05T01:00:00Z,5,41,56
LAPTOP-0040,LAPTOP-0040,user.0040,NA-East,Windows 11 22H2,Desktop,40,75,66,107.2,78,96,4,3,3,3,-66,201,2.94,Compliant,54,Current,Enabled,2026-08-03T11:00:00Z,0,50,51
LAPTOP-0041,LAPTOP-0041,user.0041,NA-West,Windows 10 22H2,VDI,9,49,97,75.9,96,51,1,1,0,3,-44,156,1.54,Compliant,63,Outdated,Enabled,2026-08-02T16:00:00Z,4,61,35
LAPTOP-0042,LAPTOP-0042,user.0042,EMEA,Windows 11 23H2,Laptop,63,73,96,168.0,84,110,3,2,2,5,-57,175,4.33,Non-Compliant,71,Current,Enabled,2026-08-06T22:00:00Z,5,36,70
LAPTOP-0043,LAPTOP-0043,user.0043,APAC,Windows 11 22H2,Desktop,44,92,37,165.5,99,83,2,0,1,1,-84,119,2.45,Compliant,109,Current,Enabled,2026-08-02T09:00:00Z,0,62,47
LAPTOP-0044,LAPTOP-0044,user.0044,LATAM,Windows 10 22H2,VDI,77,68,35,203.6,75,102,1,0,0,2,-43,24,0.55,Compliant,107,Current,Enabled,2026-08-05T17:00:00Z,5,51,45
LAPTOP-0045,LAPTOP-0045,user.0045,NA-East,Windows 11 23H2,Laptop,42,80,55,189.1,57,64,0,3,5,1,-55,123,2.01,Compliant,5,Current,Enabled,2026-08-03T19:00:00Z,4,67,40
LAPTOP-0046,LAPTOP-0046,user.0046,NA-West,Windows 11 22H2,Desktop,38,78,88,88.5,60,47,3,3,8,1,-55,32,1.71,Compliant,60,Current,Enabled,2026-08-06T17:00:00Z,3,43,47
LAPTOP-0047,LAPTOP-0047,user.0047,EMEA,Windows 10 22H2,VDI,55,30,38,201.5,80,41,2,1,1,0,-69,31,1.01,Non-Compliant,10,Current,Enabled,2026-08-07T07:00:00Z,3,80,20
LAPTOP-0048,LAPTOP-0048,user.0048,APAC,Windows 11 23H2,Laptop,44,86,95,64.0,70,109,2,0,5,1,-45,201,2.65,Compliant,30,Current,Enabled,2026-08-05T19:00:00Z,1,40,55
LAPTOP-0049,LAPTOP-0049,user.0049,LATAM,Windows 11 22H2,Desktop,34,44,42,174.7,61,78,4,2,4,5,-64,209,3.37,Compliant,139,Current,Enabled,2026-08-04T04:00:00Z,1,52,50
LAPTOP-0050,LAPTOP-0050,user.0050,NA-East,Windows 10 22H2,VDI,57,43,36,113.8,97,63,0,0,9,5,-52,36,0.21,Compliant,80,Current,Enabled,2026-08-01T18:00:00Z,2,63,34
LAPTOP-0051,LAPTOP-0051,user.0051,NA-West,Windows 11 23H2,Laptop,12,23,87,154.2,60,64,1,3,3,2,-68,62,0.01,Non-Compliant,58,Current,Disabled,2026-08-01T11:00:00Z,2,79,26
LAPTOP-0052,LAPTOP-0052,user.0052,EMEA,Windows 11 22H2,Desktop,51,22,52,185.4,78,46,1,1,5,1,-44,113,3.42,Compliant,104,Current,Disabled,2026-08-03T11:00:00Z,3,59,39
LAPTOP-0053,LAPTOP-0053,user.0053,APAC,Windows 10 22H2,VDI,84,73,43,202.3,61,28,0,3,1,4,-84,46,3.1,Compliant,16,Current,Enabled,2026-08-05T19:00:00Z,3,39,60
LAPTOP-0054,LAPTOP-0054,user.0054,LATAM,Windows 11 23H2,Laptop,8,41,88,170.5,99,105,1,1,2,5,-60,108,3.02,Compliant,12,Current,Enabled,2026-08-03T12:00:00Z,6,57,45
LAPTOP-0055,LAPTOP-0055,user.0055,NA-East,Windows 11 22H2,Desktop,17,65,50,19.0,64,106,0,2,3,2,-85,158,3.63,Compliant,24,Current,Enabled,2026-08-01T20:00:00Z,1,66,37
LAPTOP-0056,LAPTOP-0056,user.0056,NA-West,Windows 10 22H2,VDI,60,37,38,39.7,90,70,0,3,2,0,-44,18,4.97,Compliant,54,Current,Enabled,2026-08-01T09:00:00Z,4,55,39
LAPTOP-0057,LAPTOP-0057,user.0057,EMEA,Windows 11 23H2,Laptop,22,66,42,66.3,67,54,3,3,8,1,-85,25,1.16,Compliant,83,Current,Enabled,2026-08-02T12:00:00Z,4,67,26
LAPTOP-0058,LAPTOP-0058,user.0058,APAC,Windows 11 22H2,Desktop,42,76,76,167.3,87,118,0,1,9,3,-43,17,3.98,Compliant,60,Outdated,Enabled,2026-08-03T15:00:00Z,3,46,59
LAPTOP-0059,LAPTOP-0059,user.0059,LATAM,Windows 10 22H2,VDI,22,71,61,45.5,61,111,5,3,9,1,-76,85,3.67,Compliant,66,Current,Enabled,2026-08-01T17:00:00Z,5,69,28
LAPTOP-0060,LAPTOP-0060,user.0060,NA-East,Windows 11 23H2,Laptop,72,60,83,199.1,86,106,5,3,5,0,-85,56,3.72,Non-Compliant,30,Current,Enabled,2026-08-07T21:00:00Z,7,25,69
LAPTOP-0061,LAPTOP-0061,user.0061,NA-West,Windows 11 22H2,Desktop,63,49,72,91.2,69,21,3,2,9,3,-64,28,1.89,Compliant,28,Current,Enabled,2026-08-03T15:00:00Z,0,30,74
LAPTOP-0062,LAPTOP-0062,user.0062,EMEA,Windows 10 22H2,VDI,37,21,94,166.3,81,108,2,1,4,1,-42,53,2.61,Compliant,64,Outdated,Enabled,2026-08-02T02:00:00Z,7,63,29
LAPTOP-0063,LAPTOP-0063,user.0063,APAC,Windows 11 23H2,Laptop,29,68,75,66.3,77,51,4,1,8,4,-45,36,4.91,Compliant,137,Outdated,Enabled,2026-08-07T07:00:00Z,1,73,26
LAPTOP-0064,LAPTOP-0064,user.0064,LATAM,Windows 11 22H2,Desktop,56,51,36,120.2,78,36,0,1,4,0,-81,189,2.92,Compliant,103,Current,Enabled,2026-08-03T02:00:00Z,6,70,25
LAPTOP-0065,LAPTOP-0065,user.0065,NA-East,Windows 10 22H2,VDI,10,77,32,197.4,64,92,0,1,2,1,-47,141,2.07,Compliant,25,Current,Enabled,2026-08-01T19:00:00Z,4,86,24
LAPTOP-0066,LAPTOP-0066,user.0066,NA-West,Windows 11 23H2,Laptop,84,76,53,55.4,68,36,0,3,0,5,-85,174,2.59,Compliant,63,Current,Enabled,2026-08-04T08:00:00Z,1,43,63
LAPTOP-0067,LAPTOP-0067,user.0067,EMEA,Windows 11 22H2,Desktop,39,29,42,37.7,97,57,3,3,2,0,-74,194,0.59,Compliant,5,Current,Enabled,2026-08-01T10:00:00Z,7,70,38
LAPTOP-0068,LAPTOP-0068,user.0068,APAC,Windows 10 22H2,VDI,43,59,66,180.4,91,94,2,1,8,0,-48,203,1.71,Non-Compliant,130,Current,Enabled,2026-08-03T01:00:00Z,6,40,45
LAPTOP-0069,LAPTOP-0069,user.0069,LATAM,Windows 11 23H2,Laptop,64,79,86,141.3,64,95,0,2,9,1,-73,195,2.29,Non-Compliant,9,Current,Enabled,2026-08-04T09:00:00Z,1,34,60
LAPTOP-0070,LAPTOP-0070,user.0070,NA-East,Windows 11 22H2,Desktop,89,68,51,145.9,84,79,0,1,6,5,-62,85,0.89,Compliant,138,Outdated,Enabled,2026-08-06T06:00:00Z,7,55,50
LAPTOP-0071,LAPTOP-0071,user.0071,NA-West,Windows 10 22H2,VDI,73,76,48,67.9,99,56,5,2,3,4,-52,95,2.81,Compliant,57,Current,Enabled,2026-08-03T09:00:00Z,1,46,51
LAPTOP-0072,LAPTOP-0072,user.0072,EMEA,Windows 11 23H2,Laptop,64,50,53,29.4,92,29,1,2,1,3,-53,150,0.1,Compliant,112,Current,Enabled,2026-08-02T17:00:00Z,1,61,42
LAPTOP-0073,LAPTOP-0073,user.0073,APAC,Windows 11 22H2,Desktop,88,70,41,63.8,60,48,4,3,9,4,-76,211,3.51,Compliant,76,Current,Enabled,2026-08-03T14:00:00Z,0,44,54
LAPTOP-0074,LAPTOP-0074,user.0074,LATAM,Windows 10 22H2,VDI,36,73,96,7.1,79,60,4,3,9,3,-69,106,4.68,Compliant,46,Current,Enabled,2026-08-03T10:00:00Z,5,46,51
LAPTOP-0075,LAPTOP-0075,user.0075,NA-East,Windows 11 23H2,Laptop,79,45,85,185.8,65,113,5,0,7,5,-51,62,2.4,Compliant,107,Current,Enabled,2026-08-05T06:00:00Z,2,51,51
LAPTOP-0076,LAPTOP-0076,user.0076,NA-West,Windows 11 22H2,Desktop,30,54,69,179.9,68,106,3,0,3,0,-84,83,3.99,Compliant,33,Current,Enabled,2026-08-01T02:00:00Z,3,71,36
LAPTOP-0077,LAPTOP-0077,user.0077,EMEA,Windows 10 22H2,VDI,47,94,49,137.1,63,107,5,1,9,3,-82,207,3.95,Compliant,20,Current,Enabled,2026-08-04T02:00:00Z,5,55,51
LAPTOP-0078,LAPTOP-0078,user.0078,APAC,Windows 11 23H2,Laptop,81,63,41,111.2,68,88,4,2,0,5,-84,219,2.58,Non-Compliant,95,Current,Enabled,2026-08-06T06:00:00Z,3,47,50
LAPTOP-0079,LAPTOP-0079,user.0079,LATAM,Windows 11 22H2,Desktop,23,51,44,173.7,57,88,4,3,8,5,-67,95,3.74,Compliant,45,Current,Enabled,2026-08-02T03:00:00Z,4,61,33
LAPTOP-0080,LAPTOP-0080,user.0080,NA-East,Windows 10 22H2,VDI,85,88,36,16.7,77,25,1,0,0,2,-47,173,0.17,Compliant,104,Current,Enabled,2026-08-06T01:00:00Z,6,45,56
LAPTOP-0081,LAPTOP-0081,user.0081,NA-West,Windows 11 23H2,Laptop,31,81,67,88.0,79,74,4,2,2,1,-52,56,3.75,Compliant,71,Current,Enabled,2026-08-05T04:00:00Z,5,67,39
LAPTOP-0082,LAPTOP-0082,user.0082,EMEA,Windows 11 22H2,Desktop,74,92,38,40.2,56,102,0,1,6,5,-47,43,3.27,Compliant,128,Current,Enabled,2026-08-03T21:00:00Z,6,38,60
LAPTOP-0083,LAPTOP-0083,user.0083,APAC,Windows 10 22H2,VDI,47,34,71,162.2,64,20,3,2,5,2,-48,91,0.13,Non-Compliant,99,Current,Enabled,2026-08-05T05:00:00Z,2,62,36
LAPTOP-0084,LAPTOP-0084,user.0084,LATAM,Windows 11 23H2,Laptop,44,39,81,86.0,88,47,0,2,1,1,-65,130,3.38,Non-Compliant,51,Current,Enabled,2026-08-01T17:00:00Z,5,68,28
LAPTOP-0085,LAPTOP-0085,user.0085,NA-East,Windows 11 22H2,Desktop,76,32,87,205.9,95,67,0,1,2,2,-59,110,3.4,Compliant,28,Outdated,Enabled,2026-08-01T09:00:00Z,4,41,64
LAPTOP-0086,LAPTOP-0086,user.0086,NA-West,Windows 10 22H2,VDI,23,25,39,80.6,65,25,3,1,3,1,-44,140,1.03,Compliant,5,Outdated,Enabled,2026-08-07T01:00:00Z,0,80,16
LAPTOP-0087,LAPTOP-0087,user.0087,EMEA,Windows 11 23H2,Laptop,48,66,57,180.7,60,89,3,0,9,2,-84,58,1.62,Compliant,56,Current,Enabled,2026-08-07T03:00:00Z,6,44,55
LAPTOP-0088,LAPTOP-0088,user.0088,APAC,Windows 11 22H2,Desktop,94,44,63,129.5,76,32,3,1,2,1,-41,36,4.33,Compliant,81,Current,Enabled,2026-08-03T18:00:00Z,5,44,57
LAPTOP-0089,LAPTOP-0089,user.0089,LATAM,Windows 10 22H2,VDI,41,89,84,100.3,96,116,3,1,4,1,-56,86,1.6,Compliant,78,Current,Enabled,2026-08-03T03:00:00Z,4,40,52
LAPTOP-0090,LAPTOP-0090,user.0090,NA-East,Windows 11 23H2,Laptop,71,92,56,166.7,78,45,3,3,9,5,-77,137,3.34,Non-Compliant,92,Current,Enabled,2026-08-07T21:00:00Z,4,32,65
LAPTOP-0091,LAPTOP-0091,user.0091,NA-West,Windows 11 22H2,Desktop,94,20,71,7.8,56,53,4,0,8,1,-63,56,0.03,Compliant,65,Current,Enabled,2026-08-07T08:00:00Z,6,36,65
LAPTOP-0092,LAPTOP-0092,user.0092,EMEA,Windows 10 22H2,VDI,57,24,48,110.3,64,73,1,3,0,5,-50,190,0.94,Compliant,134,Current,Enabled,2026-08-07T08:00:00Z,6,66,32
LAPTOP-0093,LAPTOP-0093,user.0093,APAC,Windows 11 23H2,Laptop,52,56,46,94.6,80,113,2,0,4,0,-80,195,4.19,Compliant,111,Current,Enabled,2026-08-01T00:00:00Z,7,74,21
LAPTOP-0094,LAPTOP-0094,user.0094,LATAM,Windows 11 22H2,Desktop,53,57,61,147.7,60,57,4,2,1,0,-59,109,2.61,Compliant,63,Current,Enabled,2026-08-01T04:00:00Z,0,42,54
LAPTOP-0095,LAPTOP-0095,user.0095,NA-East,Windows 10 22H2,VDI,53,91,43,19.6,73,78,3,3,8,5,-57,88,2.16,Non-Compliant,60,Current,Enabled,2026-08-04T22:00:00Z,5,56,53
LAPTOP-0096,LAPTOP-0096,user.0096,NA-West,Windows 11 23H2,Laptop,11,35,77,11.8,68,113,4,3,9,0,-73,27,4.17,Compliant,101,Current,Enabled,2026-08-04T16:00:00Z,3,64,35
LAPTOP-0097,LAPTOP-0097,user.0097,EMEA,Windows 11 22H2,Desktop,77,53,97,43.3,57,71,1,0,9,1,-81,153,3.54,Compliant,121,Current,Enabled,2026-08-03T21:00:00Z,5,59,45
LAPTOP-0098,LAPTOP-0098,user.0098,APAC,Windows 10 22H2,VDI,19,89,84,198.0,64,117,2,2,7,2,-65,108,1.93,Compliant,28,Outdated,Disabled,2026-08-03T13:00:00Z,6,50,50
LAPTOP-0099,LAPTOP-0099,user.0099,LATAM,Windows 11 23H2,Laptop,71,53,43,36.3,96,106,1,1,9,4,-76,93,4.68,Compliant,72,Current,Disabled,2026-08-03T03:00:00Z,7,39,58
LAPTOP-0100,LAPTOP-0100,user.0100,NA-East,Windows 11 22H2,Desktop,13,31,43,119.1,84,82,4,0,5,4,-47,141,4.32,Compliant,18,Outdated,Enabled,2026-08-03T09:00:00Z,3,75,26
LAPTOP-1204,LAPTOP-1204,alex.morgan,NA-East,Windows 11 23H2,Laptop,94,88,72,48.0,82,95,8,2,3,6,-68,210,2.4,Compliant,18,Current,Enabled,2026-08-05T08:11:00Z,7,41,86
LAPTOP-1507,LAPTOP-1507,priya.sharma,EMEA,Windows 11 23H2,Laptop,38,55,96,3.2,90,48,0,1,17,1,-55,42,0.1,Compliant,12,Current,Enabled,2026-08-07T06:40:00Z,2,58,71
LAPTOP-2031,LAPTOP-2031,chris.nguyen,APAC,Windows 10 22H2,Laptop,45,60,70,55.0,70,70,1,0,0,0,-60,55,0.0,Non-Compliant,120,Outdated,Disabled,2026-07-20T10:00:00Z,3,49,88
LAPTOP-3304,LAPTOP-3304,jamie.lee,NA-West,Windows 11 23H2,Laptop,22,41,48,180.0,95,28,0,0,0,0,-48,24,0.0,Compliant,5,Current,Enabled,2026-08-08T01:15:00Z,0,94,8
LAPTOP-9910,LAPTOP-9910,taylor.brooks,NA-East,Windows 11 23H2,Laptop,35,48,61,92.0,88,40,5,1,2,7,-78,160,4.8,Compliant,20,Current,Enabled,2026-08-06T21:05:00Z,9,46,79
